comment_id,parent_post_id,tech_tag,label,compound
n5yc6p3,1mcyhlz,AI,Neutral,0.0
n5zhfnz,1mcyhlz,AI,Neutral,0.0
n62s6k2,1mcyhlz,AI,Neutral,0.0
n62t12f,1mcyhlz,AI,Positive,0.4939
n5yp2jt,1mcyhlz,AI,Neutral,0.0
n5yse09,1mcyhlz,AI,Neutral,0.0
n5yzgfj,1mcyhlz,AI,Negative,-0.6059
n5ztxiz,1mcyhlz,AI,Positive,0.9136
n62ijwp,1mcyhlz,AI,Positive,0.5859
n62ik6h,1mcyhlz,AI,Neutral,0.0
n62o44k,1mcyhlz,AI,Neutral,0.0
n70z2o3,1mi4kwh,AI,Neutral,0.0
n70wrys,1mi4kwh,AI,Positive,0.8016
n70wtj0,1mi4kwh,AI,Positive,0.5927
n70y63a,1mi4kwh,AI,Positive,0.7672
n70ywfj,1mi4kwh,AI,Neutral,0.0
n715eoh,1mi4kwh,AI,Negative,-0.4005
n70yd23,1mi4kwh,AI,Positive,0.5994
n70ys28,1mi4kwh,AI,Negative,-0.8157
n70zi4w,1mi4kwh,AI,Negative,-0.2328
n710u09,1mi4kwh,AI,Positive,0.743
n7111z6,1mi4kwh,AI,Negative,-0.0552
n713smc,1mi4kwh,AI,Positive,0.4767
n7181bj,1mi4kwh,AI,Positive,0.4215
nbye9oa,1mi4kwh,AI,Negative,-0.9418
n716vxg,1mi4kwh,AI,Positive,0.2023
n71769g,1mi4kwh,AI,Positive,0.3291
n719uz4,1mi4kwh,AI,Neutral,0.0
n71awl5,1mi4kwh,AI,Positive,0.9201
n71ba1e,1mi4kwh,AI,Positive,0.4019
n71c0gf,1mi4kwh,AI,Neutral,0.0
lm4u0s9,1fc0om2,AI,Negative,-0.5984
lm6eolv,1fc0om2,AI,Negative,-0.8477
lm4s521,1fc0om2,AI,Positive,0.4588
lm4r2of,1fc0om2,AI,Neutral,-0.0258
lm4stvb,1fc0om2,AI,Negative,-0.7906
lm57gpw,1fc0om2,AI,Positive,0.4404
lm5rtjt,1fc0om2,AI,Negative,-0.296
lm50nw4,1fc0om2,AI,Positive,0.6369
lm5horp,1fc0om2,AI,Positive,0.2814
lm5ve3x,1fc0om2,AI,Negative,-0.3182
lm687ww,1fc0om2,AI,Negative,-0.8336
lm4wzdk,1fc0om2,AI,Negative,-0.2924
lm6b0ea,1fc0om2,AI,Neutral,0.0
lm5v29f,1fc0om2,AI,Negative,-0.8628
lm5pv5w,1fc0om2,AI,Positive,0.4497
lm55u9y,1fc0om2,AI,Negative,-0.5256
lm6kvjd,1fc0om2,AI,Neutral,0.0
lm4ug9a,1fc0om2,AI,Neutral,0.0
lm4ugpr,1fc0om2,AI,Negative,-0.5848
lm4zdre,1fc0om2,AI,Neutral,0.0
o114ibk,1qjrxul,AI,Negative,-0.4215
o114uvw,1qjrxul,AI,Negative,-0.7537
o112flh,1qjrxul,AI,Neutral,0.0
o12342j,1qjrxul,AI,Negative,-0.3818
o15g9aw,1qjrxul,AI,Negative,-0.9274
o3onjs8,1qjrxul,AI,Neutral,0.0
o60594k,1qjrxul,AI,Positive,0.5994
o116qe9,1qjrxul,AI,Neutral,0.0
o116tpu,1qjrxul,AI,Neutral,0.0
o112vsd,1qjrxul,AI,Negative,-0.5267
nl8uzu1,1ofgc55,AI,Neutral,0.0
nl8vg7e,1ofgc55,AI,Neutral,0.0
nl8v8r3,1ofgc55,AI,Positive,0.4939
nl8vcmq,1ofgc55,AI,Neutral,0.0
nl8vtpi,1ofgc55,AI,Negative,-0.5983
nl8yi7y,1ofgc55,AI,Positive,0.3612
nl8waiw,1ofgc55,AI,Negative,-0.34
nl8yixn,1ofgc55,AI,Neutral,0.0
nl8xx2c,1ofgc55,AI,Negative,-0.1531
nl8vq0b,1ofgc55,AI,Neutral,0.0
nl8yooa,1ofgc55,AI,Negative,-0.7812
nlaa9ro,1ofgc55,AI,Positive,0.7214
nl8vspc,1ofgc55,AI,Positive,0.6705
nl8vkx2,1ofgc55,AI,Negative,-0.5574
nl8vt7w,1ofgc55,AI,Neutral,0.0
nl8xkon,1ofgc55,AI,Neutral,0.0
nl8yw9m,1ofgc55,AI,Negative,-0.2714
nlaklea,1ofgc55,AI,Neutral,0.0
nl8wvy7,1ofgc55,AI,Neutral,0.0382
nl8xjeg,1ofgc55,AI,Neutral,0.0
lzhhhqu,1h28uho,AI,Positive,0.1397
lzhgqer,1h28uho,AI,Positive,0.4404
lzhgg32,1h28uho,AI,Negative,-0.1531
lzhgt5i,1h28uho,AI,Positive,0.3612
lzhhnnn,1h28uho,AI,Positive,0.9023
lzhi814,1h28uho,AI,Neutral,0.0
lzhhh1j,1h28uho,AI,Neutral,0.0
lzhglbb,1h28uho,AI,Positive,0.3182
lzhqi4x,1h28uho,AI,Negative,-0.3612
lzhglp5,1h28uho,AI,Neutral,0.0
lzhhdb2,1h28uho,AI,Positive,0.5187
lzhhyo7,1h28uho,AI,Neutral,0.0258
lzhjcfi,1h28uho,AI,Positive,0.8151
lzhjp68,1h28uho,AI,Positive,0.8793
lzhjplz,1h28uho,AI,Neutral,0.0
lzhk3fa,1h28uho,AI,Positive,0.7089
lzhkbrk,1h28uho,AI,Neutral,0.0
lzhlcmp,1h28uho,AI,Negative,-0.3291
lzhnjau,1h28uho,AI,Positive,0.8114
lzhnolu,1h28uho,AI,Negative,-0.6486
o2bwurk,1qpugsz,AI,Positive,0.25
nbnr71c,1n4tgf8,AI,Neutral,0.0
nbnqnnh,1n4tgf8,AI,Neutral,0.0
nbnr12y,1n4tgf8,AI,Positive,0.3947
nbnrri9,1n4tgf8,AI,Neutral,0.0
nbns7ox,1n4tgf8,AI,Negative,-0.5423
o3kagsh,1n4tgf8,AI,Neutral,0.0
nbnw85u,1n4tgf8,AI,Positive,0.1798
nbnrdck,1n4tgf8,AI,Neutral,0.0
nbnwc9k,1n4tgf8,AI,Positive,0.1798
nbnrt6d,1n4tgf8,AI,Positive,0.3612
nbns5r0,1n4tgf8,AI,Positive,0.6007
nx125yt,1q0ub2b,AI,Negative,-0.4003
nx0x2pu,1q0ub2b,AI,Negative,-0.6808
nx0x4a8,1q0ub2b,AI,Negative,-0.7845
nx11qzv,1q0ub2b,AI,Negative,-0.1027
nx0wj13,1q0ub2b,AI,Positive,0.4215
nx0w00h,1q0ub2b,AI,Neutral,0.0
nx14c7d,1q0ub2b,AI,Positive,0.34
nx13qcm,1q0ub2b,AI,Negative,-0.296
nx0yz00,1q0ub2b,AI,Negative,-0.25
nx1e6ep,1q0ub2b,AI,Neutral,0.0
nx182i6,1q0ub2b,AI,Neutral,0.0
nx125wv,1q0ub2b,AI,Neutral,0.0
nx14o74,1q0ub2b,AI,Negative,-0.5267
nx17emz,1q0ub2b,AI,Neutral,0.0
nx1mvl3,1q0ub2b,AI,Positive,0.4404
nx2ma5f,1q0ub2b,AI,Neutral,0.0
nx38tz2,1q0ub2b,AI,Negative,-0.8339
nx14ca3,1q0ub2b,AI,Positive,0.7506
nx2lnyv,1q0ub2b,AI,Neutral,0.0
nx2wbo5,1q0ub2b,AI,Neutral,0.0
mstjaog,1koxp4b,AI,Positive,0.4939
mstufxg,1koxp4b,AI,Negative,-0.7548
mstp5ia,1koxp4b,AI,Positive,0.1531
mstsixi,1koxp4b,AI,Positive,0.743
nl39lzr,1koxp4b,AI,Positive,0.0772
mstspwq,1koxp4b,AI,Positive,0.9823
mstv7t4,1koxp4b,AI,Neutral,0.0
msy1qit,1koxp4b,AI,Positive,0.6908
msytchc,1koxp4b,AI,Positive,0.6249
my4yj5e,1koxp4b,AI,Positive,0.5927
n20ukb1,1koxp4b,AI,Positive,0.7506
msytref,1koxp4b,AI,Positive,0.8205
nmz6djf,1koxp4b,AI,Positive,0.4391
msytfl6,1koxp4b,AI,Positive,0.8655
msu0li6,1koxp4b,AI,Neutral,0.0
msyzvu0,1koxp4b,AI,Negative,-0.1366
msuvy2c,1koxp4b,AI,Neutral,0.0
msytamz,1koxp4b,AI,Positive,0.3182
mt0j0tp,1koxp4b,AI,Neutral,0.0
mzl7y5o,1ljntln,AI,Negative,-0.7269
mzl93tx,1ljntln,AI,Positive,0.4159
mzl8ik0,1ljntln,AI,Negative,-0.4019
mzldobb,1ljntln,AI,Negative,-0.3535
n5psvp4,1ljntln,AI,Neutral,0.0
nzebgfe,1ljntln,AI,Positive,0.6476
mzl8tmd,1ljntln,AI,Positive,0.1406
nc58xv4,1ljntln,AI,Positive,0.5994
mzl9n08,1ljntln,AI,Positive,0.5168
o1rkck7,1ljntln,AI,Positive,0.7701
o1vxr13,1ljntln,AI,Neutral,0.0
mg5sptt,1j45aju,AI,Positive,0.8462
n0rew9v,1j45aju,AI,Positive,0.5023
nbyau5d,1j45aju,AI,Positive,0.5328
mg5qcfh,1j45aju,AI,Positive,0.4767
mg5yc2n,1j45aju,AI,Positive,0.6974
mh3akr5,1j45aju,AI,Positive,0.8481
n30xce0,1j45aju,AI,Positive,0.9732
ns11dmn,1j45aju,AI,Positive,0.6597
nx8fje8,1j45aju,AI,Positive,0.4404
o3s9lzo,1j45aju,AI,Positive,0.9134
nc595c9,1j45aju,AI,Positive,0.0772
nt3e47t,1pi4fhu,AI,Neutral,0.0
nt3e5d3,1pi4fhu,AI,Positive,0.3818
nt3gazc,1pi4fhu,AI,Positive,0.8442
nt3dvsg,1pi4fhu,AI,Positive,0.2732
nt3j3ht,1pi4fhu,AI,Neutral,0.0
nt3mzsv,1pi4fhu,AI,Negative,-0.3378
nt3imcr,1pi4fhu,AI,Negative,-0.6124
nt3gka8,1pi4fhu,AI,Positive,0.128
nt3eji1,1pi4fhu,AI,Negative,-0.128
nt3g7ww,1pi4fhu,AI,Positive,0.7579
nt460t8,1pi4fhu,AI,Neutral,0.0
nt3eac4,1pi4fhu,AI,Neutral,0.0
nt3nd7u,1pi4fhu,AI,Neutral,0.0
nt3g1dv,1pi4fhu,AI,Negative,-0.7424
nt3cxsx,1pi4fhu,AI,Negative,-0.4767
nt463cb,1pi4fhu,AI,Positive,0.4215
nt3nhos,1pi4fhu,AI,Positive,0.0516
nt3oivi,1pi4fhu,AI,Positive,0.765
nt3oy4z,1pi4fhu,AI,Neutral,0.0
nt3q80a,1pi4fhu,AI,Positive,0.25
lzl6qj7,1h2r7i3,AI,Negative,-0.6361
lzl7wcm,1h2r7i3,AI,Negative,-0.4767
lzl6s95,1h2r7i3,AI,Neutral,0.0
lzla86g,1h2r7i3,AI,Positive,0.5719
lzl8gxz,1h2r7i3,AI,Neutral,0.0
lzl856l,1h2r7i3,AI,Positive,0.8201
lzlbf8h,1h2r7i3,AI,Positive,0.5473
lzlc0f0,1h2r7i3,AI,Negative,-0.1027
lzlgq4u,1h2r7i3,AI,Positive,0.4019
lzlcna9,1h2r7i3,AI,Positive,0.4898
lzlwf32,1h2r7i3,AI,Negative,-0.9807
lzlc405,1h2r7i3,AI,Negative,-0.4767
lzlhhj6,1h2r7i3,AI,Neutral,0.0076
lzmli59,1h2r7i3,AI,Negative,-0.9198
lzldtwi,1h2r7i3,AI,Positive,0.7896
lzlfz6v,1h2r7i3,AI,Negative,-0.8883
lzln28q,1h2r7i3,AI,Positive,0.6369
lzm3vt2,1h2r7i3,AI,Neutral,0.0
lzmmfud,1h2r7i3,AI,Neutral,0.0
lzmul08,1h2r7i3,AI,Positive,0.3612
mqrk6o4,1kfko7s,AI,Negative,-0.5994
mqrlkg6,1kfko7s,AI,Positive,0.4102
mqrk7g5,1kfko7s,AI,Neutral,0.0
mqrlnp7,1kfko7s,AI,Negative,-0.4497
mqrypgi,1kfko7s,AI,Positive,0.6114
mqrehg6,1kfko7s,AI,Neutral,0.0
mqrgjce,1kfko7s,AI,Negative,-0.5423
mqs5owf,1kfko7s,AI,Negative,-0.936
mqrk0j2,1kfko7s,AI,Neutral,0.0
mqrmquk,1kfko7s,AI,Neutral,0.0
mqrrzha,1kfko7s,AI,Neutral,0.0
mqtob0j,1kfko7s,AI,Negative,-0.296
mqtae1p,1kfko7s,AI,Neutral,0.0
mqrnkbc,1kfko7s,AI,Positive,0.1759
mqrlz6q,1kfko7s,AI,Neutral,0.0
mqrowdf,1kfko7s,AI,Neutral,0.0
mqrrni4,1kfko7s,AI,Negative,-0.5753
mqrukp8,1kfko7s,AI,Negative,-0.5719
mqtu815,1kfko7s,AI,Neutral,0.0
mqrqtj9,1kfko7s,AI,Neutral,0.0
o0rkm9p,1qii8ss,AI,Positive,0.3612
o0rkejl,1qii8ss,AI,Neutral,0.0031
o0rkjvc,1qii8ss,AI,Negative,-0.5574
o0rkpdf,1qii8ss,AI,Positive,0.5994
o0rkq8k,1qii8ss,AI,Positive,0.4215
o0rkrtl,1qii8ss,AI,Negative,-0.6531
o0rlygm,1qii8ss,AI,Negative,-0.8943
o0rodge,1qii8ss,AI,Positive,0.7771
o0rnrzs,1qii8ss,AI,Neutral,0.0
o0rv8lf,1qii8ss,AI,Negative,-0.5267
o0rotl2,1qii8ss,AI,Positive,0.4449
o0rpc5n,1qii8ss,AI,Positive,0.4767
o0rs5jh,1qii8ss,AI,Positive,0.0516
o0rw61x,1qii8ss,AI,Negative,-0.4767
o0s2vxi,1qii8ss,AI,Negative,-0.4118
o0t8vt9,1qii8ss,AI,Negative,-0.5215
o0ybq4q,1qii8ss,AI,Positive,0.7261
o0rqdxs,1qii8ss,AI,Positive,0.85
o0rs2eq,1qii8ss,AI,Negative,-0.4215
o0rtjh6,1qii8ss,AI,Neutral,0.0
m5defp5,1hthjbt,AI,Negative,-0.3182
m5dek99,1hthjbt,AI,Negative,-0.8779
m5dgaym,1hthjbt,AI,Negative,-0.3612
m5eaeq4,1hthjbt,AI,Neutral,0.0
m5depn8,1hthjbt,AI,Positive,0.4019
m5dfgfx,1hthjbt,AI,Negative,-0.5256
m5eezcv,1hthjbt,AI,Negative,-0.4767
m5dnzs7,1hthjbt,AI,Neutral,0.0
m5dbr5o,1hthjbt,AI,Positive,0.2716
m5enwzt,1hthjbt,AI,Negative,-0.3071
m5di7os,1hthjbt,AI,Negative,-0.4019
m5g11bb,1hthjbt,AI,Neutral,0.0
m5dtw55,1hthjbt,AI,Neutral,0.0
m5dxx4e,1hthjbt,AI,Negative,-0.9393
m5dyrkf,1hthjbt,AI,Positive,0.4767
m5lmba3,1hthjbt,AI,Neutral,0.0
m5durmz,1hthjbt,AI,Neutral,0.0
m5dwn93,1hthjbt,AI,Negative,-0.6808
m5estlu,1hthjbt,AI,Negative,-0.128
m5f2fvh,1hthjbt,AI,Negative,-0.3744
lkxh2ih,1f63nex,AI,Positive,0.4588
lkxgc0h,1f63nex,AI,Neutral,0.0
lkxfjih,1f63nex,AI,Neutral,0.0
lkxij9a,1f63nex,AI,Negative,-0.2263
lkxh768,1f63nex,AI,Positive,0.2263
lkxhhk6,1f63nex,AI,Neutral,0.0
lkxid6u,1f63nex,AI,Positive,0.6486
lkxnw2u,1f63nex,AI,Neutral,0.0
lkxr7mf,1f63nex,AI,Positive,0.6855
lkxl6vk,1f63nex,AI,Positive,0.3617
lkxihqa,1f63nex,AI,Positive,0.5023
lkxl0su,1f63nex,AI,Neutral,0.0
lkxl42a,1f63nex,AI,Positive,0.6908
lkxm5fv,1f63nex,AI,Neutral,0.0
lkxssit,1f63nex,AI,Negative,-0.5267
lkxvxwh,1f63nex,AI,Negative,-0.1027
lkxw66w,1f63nex,AI,Neutral,0.0
lkxwg4u,1f63nex,AI,Neutral,0.0
lky8n1p,1f63nex,AI,Positive,0.6249
lkxhbi8,1f63nex,AI,Positive,0.5719
nzsp219,1qdv7ph,AI,Neutral,0.0
nzsqc1t,1qdv7ph,AI,Positive,0.8968
nzsphpd,1qdv7ph,AI,Negative,-0.4215
nzsoxta,1qdv7ph,AI,Neutral,0.0
nzss6n2,1qdv7ph,AI,Negative,-0.743
nztw7cm,1qdv7ph,AI,Negative,-0.2732
nzsx7bd,1qdv7ph,AI,Neutral,0.0
nzuetdj,1qdv7ph,AI,Negative,-0.296
nzsr3hq,1qdv7ph,AI,Negative,-0.4767
nztocsg,1qdv7ph,AI,Positive,0.6997
nztp5zw,1qdv7ph,AI,Positive,0.1027
nztuox0,1qdv7ph,AI,Negative,-0.1027
nzvf31f,1qdv7ph,AI,Neutral,0.0
nzy7xn6,1qdv7ph,AI,Positive,0.0772
nzsviix,1qdv7ph,AI,Positive,0.0772
nztfaah,1qdv7ph,AI,Negative,-0.4588
nzu7xcb,1qdv7ph,AI,Neutral,0.0
nzv0p8d,1qdv7ph,AI,Negative,-0.1027
nztcgjg,1qdv7ph,AI,Positive,0.3612
nztdugv,1qdv7ph,AI,Negative,-0.6249
lgqgwdc,1el7jn1,AI,Positive,0.6369
lgsnu1z,1el7jn1,AI,Negative,-0.5574
lgq84ic,1el7jn1,AI,Positive,0.4404
lgssrrl,1el7jn1,AI,Positive,0.8334
nhf7xaz,1el7jn1,AI,Neutral,0.0
lgt317c,1el7jn1,AI,Neutral,0.0
lgtmdn1,1el7jn1,AI,Positive,0.7783
lgtnm1r,1el7jn1,AI,Negative,-0.296
lgto0b5,1el7jn1,AI,Positive,0.497
l4fmw25,1cu00f4,AI,Negative,-0.2924
l4gaczm,1cu00f4,AI,Neutral,0.0
l4frxkr,1cu00f4,AI,Positive,0.5106
l4fwbs2,1cu00f4,AI,Negative,-0.6249
l4fxvgk,1cu00f4,AI,Negative,-0.5255
l4g0s2y,1cu00f4,AI,Positive,0.4939
l4i31kx,1cu00f4,AI,Negative,-0.1027
l4gds4u,1cu00f4,AI,Positive,0.4019
l4gdts2,1cu00f4,AI,Neutral,0.0
laghbw6,1dpewu3,AI,Negative,-0.5423
lagjvpy,1dpewu3,AI,Negative,-0.1471
lago7pz,1dpewu3,AI,Negative,-0.2732
lagxtfs,1dpewu3,AI,Negative,-0.8268
lah3ygc,1dpewu3,AI,Negative,-0.56
lah5ubd,1dpewu3,AI,Negative,-0.3182
nncuapa,1dpewu3,AI,Positive,0.1531
lah6vwm,1dpewu3,AI,Positive,0.8989
mylxsw2,1lf7irb,AI,Negative,-0.2617
mylxphs,1lf7irb,AI,Positive,0.7003
mylzq6r,1lf7irb,AI,Positive,0.8755
mylzymz,1lf7irb,AI,Positive,0.5379
mym1dts,1lf7irb,AI,Neutral,0.0
myly8dx,1lf7irb,AI,Neutral,0.0
mylytic,1lf7irb,AI,Positive,0.5994
mymgu5u,1lf7irb,AI,Negative,-0.5106
mym0bgp,1lf7irb,AI,Neutral,0.0
mym6etx,1lf7irb,AI,Negative,-0.1531
myp424x,1lf7irb,AI,Neutral,0.0
mylyao5,1lf7irb,AI,Positive,0.296
mym3bwi,1lf7irb,AI,Positive,0.9039
mym3e8e,1lf7irb,AI,Negative,-0.5213
mym3qpn,1lf7irb,AI,Positive,0.9797
mym4pm4,1lf7irb,AI,Negative,-0.1027
mym010h,1lf7irb,AI,Positive,0.34
mym248a,1lf7irb,AI,Positive,0.7568
mym2po3,1lf7irb,AI,Negative,-0.6521
mym54tr,1lf7irb,AI,Positive,0.8881
nuymisz,1pr15u5,AI,Neutral,0.0
nuyh6yh,1pr15u5,AI,Positive,0.7184
nuyr3jw,1pr15u5,AI,Positive,0.128
nuyl9z4,1pr15u5,AI,Positive,0.4939
nuyqq3w,1pr15u5,AI,Negative,-0.34
nuyiuqo,1pr15u5,AI,Negative,-0.659
nuywrwe,1pr15u5,AI,Neutral,0.0
nuyz7lw,1pr15u5,AI,Neutral,0.0
nuz18ps,1pr15u5,AI,Neutral,0.0129
nuykvzl,1pr15u5,AI,Neutral,0.0
nuyp8vu,1pr15u5,AI,Negative,-0.34
nuyxac6,1pr15u5,AI,Neutral,0.0
nv0cmxs,1pr15u5,AI,Negative,-0.2263
nuyrfgm,1pr15u5,AI,Neutral,0.0
nuyuhm6,1pr15u5,AI,Neutral,0.0
nuz3amn,1pr15u5,AI,Negative,-0.1262
nuz3ncl,1pr15u5,AI,Negative,-0.4767
nuz9lri,1pr15u5,AI,Negative,-0.6597
nuzc513,1pr15u5,AI,Positive,0.4215
nuzexce,1pr15u5,AI,Negative,-0.1027
mu22w6p,1kuiz6m,AI,Negative,-0.8233
mu21124,1kuiz6m,AI,Neutral,0.0
mu2zk9v,1kuiz6m,AI,Neutral,0.0
mu212ma,1kuiz6m,AI,Negative,-0.5574
mu2qo86,1kuiz6m,AI,Positive,0.34
mu2xowu,1kuiz6m,AI,Positive,0.2023
mu2zndg,1kuiz6m,AI,Negative,-0.1779
mu2xuf7,1kuiz6m,AI,Positive,0.4926
mu2zh7h,1kuiz6m,AI,Neutral,0.0
mu25u06,1kuiz6m,AI,Negative,-0.2023
mu26d3e,1kuiz6m,AI,Positive,0.2263
mu34agi,1kuiz6m,AI,Negative,-0.4199
mu363b3,1kuiz6m,AI,Positive,0.7096
mu3oair,1kuiz6m,AI,Neutral,0.0
mu49bpo,1kuiz6m,AI,Negative,-0.7743
mu4l5am,1kuiz6m,AI,Positive,0.765
mu5w4bl,1kuiz6m,AI,Positive,0.2023
mu6ozhc,1kuiz6m,AI,Neutral,0.0
mu74k4w,1kuiz6m,AI,Negative,-0.4357
mu7wv2o,1kuiz6m,AI,Positive,0.5719
l14u8vn,1cceb7d,AI,Positive,0.802
l14s7e6,1cceb7d,AI,Positive,0.5023
l16ve04,1cceb7d,AI,Neutral,0.0
l1ag9ao,1cceb7d,AI,Negative,-0.296
l16sx7b,1cceb7d,AI,Neutral,0.0
o4jkctm,1r0nrml,AI,Neutral,0.0
o4jj6gc,1r0nrml,AI,Negative,-0.6369
o4jkm76,1r0nrml,AI,Neutral,0.0
o4jn03l,1r0nrml,AI,Positive,0.7717
o4jluhu,1r0nrml,AI,Positive,0.7488
o4jm145,1r0nrml,AI,Neutral,0.0
o4k2l41,1r0nrml,AI,Negative,-0.9086
o4jndax,1r0nrml,AI,Neutral,0.0
o4jn8k6,1r0nrml,AI,Neutral,0.0
o4jslzn,1r0nrml,AI,Negative,-0.296
o4jxo08,1r0nrml,AI,Neutral,0.0
o4jzab7,1r0nrml,AI,Negative,-0.3595
o4k9c1t,1r0nrml,AI,Neutral,0.0
o4lo13u,1r0nrml,AI,Neutral,0.0
o501eg8,1r0nrml,AI,Negative,-0.1511
o4jp5u0,1r0nrml,AI,Negative,-0.1027
o4jy2ms,1r0nrml,AI,Negative,-0.8625
o4lde4u,1r0nrml,AI,Neutral,0.0
o4lrr6k,1r0nrml,AI,Neutral,0.0
o4m85zc,1r0nrml,AI,Neutral,0.0
kue8f07,1bc7s0x,AI,Positive,0.3612
kuepex7,1bc7s0x,AI,Negative,-0.34
kughrcm,1bc7s0x,AI,Negative,-0.296
kue0o1w,1bc7s0x,AI,Positive,0.9215
kueb6y2,1bc7s0x,AI,Neutral,0.0
kuxbc7m,1bc7s0x,AI,Positive,0.6757
lp767e2,1fqqcqt,AI,Negative,-0.3182
lp77o2t,1fqqcqt,AI,Neutral,0.0
lp7bb8h,1fqqcqt,AI,Positive,0.9246
lp7d2qx,1fqqcqt,AI,Neutral,0.0
lp7llo8,1fqqcqt,AI,Neutral,0.0
lp7hftf,1fqqcqt,AI,Positive,0.5106
lp78gyu,1fqqcqt,AI,Neutral,0.0
lp8zww1,1fqqcqt,AI,Positive,0.9052
lp7f65p,1fqqcqt,AI,Neutral,0.0
lp7rhm1,1fqqcqt,AI,Negative,-0.2411
lp7d53b,1fqqcqt,AI,Neutral,0.0
lp7f6lw,1fqqcqt,AI,Negative,-0.2406
lp834ud,1fqqcqt,AI,Negative,-0.7941
lp7hafy,1fqqcqt,AI,Positive,0.3612
lp7ispb,1fqqcqt,AI,Neutral,0.0
lp7m5hx,1fqqcqt,AI,Positive,0.5187
lp7oew2,1fqqcqt,AI,Positive,0.7964
lp7sq4o,1fqqcqt,AI,Neutral,0.0
lp8vy5i,1fqqcqt,AI,Positive,0.4019
lp9gq24,1fqqcqt,AI,Neutral,0.0258
o4wyibn,1r2h8bb,AI,Positive,0.5106
o4x0no4,1r2h8bb,AI,Positive,0.6124
o4xos06,1r2h8bb,AI,Negative,-0.8463
o4wwigv,1r2h8bb,AI,Neutral,0.0
o4wzdqs,1r2h8bb,AI,Positive,0.9728
o4x0rbo,1r2h8bb,AI,Negative,-0.3182
