post_id,tech_tag,barriers
1jdfx5d,AI,
1l8sfl0,AI,
1dueezv,AI,Integration problems; Training / skill gap
1bdkubm,AI,
1bvw6wi,AI,
1e66toy,AI,Cost concerns; Integration problems; Interoperability; Vendor lock-in
1r2jud1,AI,Performance limitations
1nyurah,AI,
1pdun26,AI,Interoperability
1piv0as,AI,Interoperability; Performance limitations
1oibnaw,AI,Training / skill gap
1r18wnx,AI,Training / skill gap
1qbj7rk,AI,Performance limitations
1ocdiv0,AI,Cost concerns; Performance limitations; Training / skill gap
1r5lgur,AI,Regulatory / compliance
1pjtbn2,AI,Cost concerns; Integration problems; Performance limitations
1mdb1mk,AI,Cost concerns; Training / skill gap
1p8ddct,AI,
1qxem6b,AI,
1nnpipj,AI,Cost concerns; Performance limitations
1nfud63,AI,
1mprlhl,AI,
1lg4q55,Computational Fluid Dynamics,Regulatory / compliance
1itu5f1,Computational Fluid Dynamics,
1fjomta,Computational Fluid Dynamics,
1ltnpcx,SHM (Structural Health Monitoring),Cost concerns; Training / skill gap
1kjjwjm,SHM (Structural Health Monitoring),
1de4smr,SHM (Structural Health Monitoring),Cost concerns; Performance limitations; ROI uncertainty
1jv5ftd,Parametric Design,
1fikczk,Parametric Design,
1lfgunf,Parametric Design,Training / skill gap
1ine4fy,AM_3Dprinting,Performance limitations; Regulatory / compliance
1igr5xx,AM_3Dprinting,Cost concerns
1inc6ho,AM_3Dprinting,
1hvxlw1,AM_3Dprinting,Cost concerns; Regulatory / compliance
1ik13z9,AM_3Dprinting,Performance limitations
1g23vmt,AM_3Dprinting,
1olvjmq,AM_3Dprinting,
1lx9gza,AM_3Dprinting,Training / skill gap
1lpige8,Prefabrication,
1fginwm,Prefabrication,
1i6nrqc,Prefabrication,
1otvorq,Prefabrication,Regulatory / compliance
1oeuie7,Prefabrication,
1bfdqcf,Prefabrication,
1lnj7ot,Prefabrication,
1m0ta1r,Prefabrication,
1k5spub,Prefabrication,Cost concerns; Regulatory / compliance
1k9s4j3,Prefabrication,
1en2emt,Prefabrication,
1hksyww,Prefabrication,
1h159s3,Prefabrication,
1im2aya,UAV,
1krpk9y,XR,
1hv42ck,XR,
1jlcu0e,XR,
1q8fs6w,Simulation,
1i9h5lh,Simulation,
1qbt3h1,Simulation,Cost concerns
1pxdz2q,Simulation,
1nfz2u1,Simulation,Cost concerns; ROI uncertainty
1le2unp,Simulation,Performance limitations; Regulatory / compliance; Training / skill gap
1p2gvho,Simulation,
1mmz693,Simulation,
1p3mi3i,Simulation,
1jucaa0,Simulation,Regulatory / compliance; Training / skill gap
1m2q9ow,Simulation,
1ipahj5,Simulation,Training / skill gap
1jkanfb,Simulation,
1hjugzl,Simulation,
1isvuxh,Simulation,Cost concerns
1ggyow4,Simulation,
1gv0rtn,Simulation,
1fjqvk5,Simulation,
1r7y1c0,BIM,
1qrqm90,BIM,
1ocy6h4,BIM,Integration problems; Interoperability; Performance limitations
1qgcuon,BIM,
1mtfqz2,BIM,
1krhnja,BIM,
1mf4etm,BIM,
1hub2hu,BIM,
1g05qmx,BIM,
1ddyp66,BIM,
1c30f9t,BIM,
1lu0px6,BIM,Cost concerns; Performance limitations; ROI uncertainty; Training / skill gap
1kigp15,BIM,Cost concerns; Integration problems; Interoperability; Performance limitations
1lxbi5u,BIM,Training / skill gap; Vendor lock-in
1r1wrhf,BIM,
1r7b3fy,BIM,
1n6j4yq,BIM,Training / skill gap
1r7b8sk,BIM,
1mj0dth,BIM,Performance limitations; Regulatory / compliance; Training / skill gap
1n4rh8k,BIM,Training / skill gap
1fw7kp3,BIM,Cost concerns; Performance limitations
1ga9f74,BIM,Performance limitations; Training / skill gap
1r1mqxu,AI,Performance limitations
1nvmtyn,AI,
1mpcmku,AI,Vendor lock-in
1jz0ba4,AI,Training / skill gap
1r5jfg5,AI,
1ph81ox,AI,
1l8zxfg,AI,Performance limitations
1mq2vcf,AI,
1pylepw,AI,
1ohu5dk,AI,
1pw98tc,AI,
1kth3oy,AI,Interoperability; Performance limitations; Regulatory / compliance; Vendor lock-in
1mwwmnd,AI,
1gg7wx9,AI,Cost concerns; Regulatory / compliance
1gmiae2,AI,Performance limitations
1kap7pa,AI,
1i904j3,AI,
1bji2b1,AI,
1iw6r56,AI,
1boarbe,AI,Cost concerns; Performance limitations
1e6hpz2,AI,
1hbud8e,AI,
1h85z8j,AI,
1ckn8hi,AI,Cost concerns; Performance limitations; Training / skill gap
1bvwcs3,AI,
1r36khd,AI,
1r1k7bh,AI,Integration problems; Interoperability; Performance limitations; Training / skill gap
1nwiww4,AI,Cost concerns; Performance limitations
1nr3406,AI,Performance limitations
1p8zpcx,AI,Training / skill gap
1dk4xf3,Cloud Computing,Integration problems; Performance limitations; Vendor lock-in
1i2ex51,RFID,
1jtr1h6,Computational Fluid Dynamics,Cost concerns
1ddousx,Generative Design,Integration problems; Training / skill gap; Vendor lock-in
1g4kpx2,Big Data,
1byi11d,XR,Cost concerns; Performance limitations; ROI uncertainty
1fze6z9,XR,
1fruunr,Simulation,
1ozjiic,Simulation,Performance limitations
1fcbg5g,BIM,
1oxqh9d,AI,Regulatory / compliance; Training / skill gap
1r28upl,AI,Performance limitations
1ojg16m,AI,
1ozj655,AI,Integration problems; Performance limitations
1i06s4u,AI,
1czn3vj,AI,Cost concerns; Training / skill gap
1qghrjt,AI,
1jxn1kt,AI,
1iivlu9,AI,Regulatory / compliance
1g8jt4z,Digital Twins,Cost concerns
1oo0e8u,UAV,Cost concerns
1jjzox5,UAV,Cost concerns
1pj5xji,UAV,
1pitj5u,UAV,
1ntpjrs,UAV,Cost concerns
1latkqy,UAV,Regulatory / compliance
1gkvaso,UAV,Performance limitations; Regulatory / compliance
1glnflm,UAV,Performance limitations; Regulatory / compliance
1ldeq60,UAV,
1ixzahv,UAV,
1iszaui,UAV,Training / skill gap
1geth9u,UAV,Cost concerns
1ek9dc2,UAV,
1fz1q7f,UAV,
1bc79z1,UAV,Cost concerns; Regulatory / compliance
1co3lo4,UAV,
1g7iyhm,UAV,Cost concerns; Training / skill gap
1cak2wy,UAV,Regulatory / compliance; Training / skill gap
1esbr2p,UAV,Training / skill gap
1ccmzy3,UAV,Cost concerns; Performance limitations
1byefxl,UAV,Regulatory / compliance
1nzdvl8,Geographic Information Systems (GIS),
1o2c3x8,Geographic Information Systems (GIS),Integration problems; Interoperability
1p6qvq8,Geographic Information Systems (GIS),Integration problems; Interoperability; Performance limitations
1pqk912,Geographic Information Systems (GIS),Training / skill gap
1ph4kmz,Geographic Information Systems (GIS),
1msvl3l,Geographic Information Systems (GIS),Cost concerns; Training / skill gap
1lkhco1,Geographic Information Systems (GIS),Performance limitations
1meo1m9,Geographic Information Systems (GIS),Integration problems; Interoperability
1mvhyh1,Geographic Information Systems (GIS),
1mw0kkd,Geographic Information Systems (GIS),Cost concerns; Performance limitations
1ghxzrv,Geographic Information Systems (GIS),
1qinc1z,XR,
1oqjpsu,XR,Cost concerns; Training / skill gap
1p0xkgz,XR,Integration problems; Interoperability; Performance limitations
1qj6cit,XR,Cost concerns; Vendor lock-in
1lxlrgb,XR,
1jbg00u,XR,Training / skill gap
1l4foh9,XR,Integration problems; Performance limitations
1m763y3,XR,Integration problems; Interoperability; Performance limitations
1l3bdf0,XR,
1l8w2hc,XR,Performance limitations
1fk2d7d,XR,
1iusu2g,XR,
1cjywtu,XR,Cost concerns; Performance limitations
1ha3rlc,Simulation,
1nnm83m,BIM,Cost concerns
1miyu7c,BIM,Cost concerns; Training / skill gap
1n7ajku,BIM,
1gvlvwh,BIM,Cost concerns; Performance limitations; Training / skill gap
1gxigl1,BIM,Performance limitations
1eigeu5,BIM,
1n15r18,BIM,Cost concerns; Integration problems; Training / skill gap
1hcwrq6,BIM,
1ff3kad,BIM,
1cb5d3t,BIM,
1r1rzxb,AI,Training / skill gap
1nlzrgn,AI,
1pm0t8p,AI,
1mdkrxd,Generative Design,Performance limitations
1pgqzm5,AM_3Dprinting,Cost concerns; Performance limitations
1nxqqn5,AM_3Dprinting,Cost concerns; Regulatory / compliance
1i5hnts,AM_3Dprinting,Cost concerns; Performance limitations
1k8es9y,AM_3Dprinting,Cost concerns; Integration problems; Performance limitations; Regulatory / compliance; Training / skill gap; Vendor lock-in
1oi5tn7,Prefabrication,Cost concerns; ROI uncertainty
1bbdfcl,Prefabrication,Cost concerns; ROI uncertainty
1kq6juu,Prefabrication,Cost concerns
1bvttbd,Prefabrication,Cost concerns
1c0lwfd,Prefabrication,
1nb62e7,Prefabrication,Cost concerns; Regulatory / compliance
1l3hk52,Prefabrication,Cost concerns; Regulatory / compliance
1iwd047,Prefabrication,Cost concerns; Regulatory / compliance
1h2pq8u,Prefabrication,
1f6ifb5,Prefabrication,Regulatory / compliance
1h2htbc,UAV,
1lexr7g,Geographic Information Systems (GIS),
1fazw48,Simulation,
1qo35d8,Simulation,Training / skill gap
1hmre3c,Simulation,Cost concerns
1e9xrya,Simulation,
1pp0ibx,BIM,Integration problems; Performance limitations
1ipzz67,BIM,
1cqddbd,BIM,
1nxsqcd,AM_3Dprinting,
1mtzsah,UAV,
1mtzugb,UAV,
1j1unxn,Simulation,
1mlpcbj,Generative Design,Performance limitations; Regulatory / compliance
1qn9bkd,Parametric Design,
1nwrdxo,Digital Twins,
1dj0g5l,AM_3Dprinting,Cost concerns; Regulatory / compliance; Training / skill gap
1ov3suq,Geographic Information Systems (GIS),
1mswh4q,Simulation,
1p8hq6g,BIM,Cost concerns; Training / skill gap
1qk92ay,BIM,
1q2daiu,BIM,Performance limitations
1ou4h5j,BIM,Cost concerns; Training / skill gap
1omml7l,BIM,
1oyymg2,BIM,
1mzom2s,BIM,
1gp2ywi,BIM,
1fjmo2m,BIM,Training / skill gap
1fogo5c,BIM,
1qwakbj,BIM,Training / skill gap
1qvcj2d,BIM,Cost concerns
1qwako1,BIM,Training / skill gap
1p8tas6,BIM,
1paekuw,BIM,
1kzxz1e,BIM,
1l5x98u,BIM,
1jl8d8h,BIM,Performance limitations; Training / skill gap
1b8yh43,AM_3Dprinting,
1nxqtln,AM_3Dprinting,Regulatory / compliance
1lwm8iy,Geographic Information Systems (GIS),Performance limitations
1lshvx7,Geographic Information Systems (GIS),
1ef45wi,Simulation,Cost concerns; ROI uncertainty
